"Person_ID","Crash_Date","Crash_Location","Victim","Crash_Circumstances","Longitude","Latitude","Location"
"O2028766","03/23/2025 08:39:00 PM","7100 S PULASKI RD","DRIVER","UNIT 1 AND UNIT 2 WERE RACING AT A HIGH RATE OF SPEED. UNIT 2 BEGAN TO CHANGE LANES, COLLIDED WITH UNIT 1, AND STRUCK A POLE. UNIT 2 DRIVER DIED.","-87.72249911","41.76400775","POINT (-87.72249911 41.76400775)"
"O2037088","03/19/2025 04:35:00 PM","1000 E 130TH ST","DRIVER","UNIT 1 SWERVED INTO ONCOMING TRAFFIC AND STRUCK UNIT 2. UNIT 1 DRIVER DIED.","-87.59760738","41.65958318","POINT (-87.59760738 41.65958318)"
"O2024877","03/17/2025 11:47:00 PM","5236 W 63RD ST","PEDESTRIAN","UNIT 1 MERGED LANES AND STRUCK UNIT 2 THEN JUMPED THE CURB AND STRUCK PEDESTRIAN ON SIDEWALK.","-87.75344985","41.77832387","POINT (-87.75344985 41.77832387)"
"O2022775","03/14/2025 03:11:00 PM","6501 W HIGGINS AVE","PEDESTRIAN","MOTORCYCLIST, DRIVING RECKLESSLY AT A HIGH RATE OF SPEED, STRUCK PEDESTRIAN CROSSING AT INTERSECTION.","-87.79039187","41.97698439","POINT (-87.79039187 41.97698439)"
"O2027005","03/13/2025 07:00:00 PM","1145 N HARDING AVE","PEDESTRIAN","DRIVER STRUCK PEDESTRIAN IN ALLEY.","-87.72491852","41.90219773","POINT (-87.72491852 41.90219773)"
"O2019041","03/08/2025 10:30:00 PM","3400 W 79TH ST","DRIVER","UNIT 1 STRUCK UNIT 2 AT A HIGH RATE OF SPEED THEN STRUCK A POLE. UNIT 1 DRIVER DIED.","-87.70734839","41.74990324","POINT (-87.70734839 41.74990324)"
"P445612","03/08/2025 05:06:00 AM","1598 N CENTRAL AVE","PASSENGER","UNIT 1 DISREGARDED TRAFFIC SIGNAL AND STRUCK UNIT 2. UNIT 1 PASSENGER DIED.","-87.7658987","41.90932035","POINT (-87.7658987 41.90932035)"
"O2011717","02/24/2025 07:57:00 PM","5452 W NORTH AVE","PEDESTRIAN","UNIT 1 STRUCK PEDESTRIAN CROSSING MIDBLOCK.","-87.76271135","41.90952254","POINT (-87.76271135 41.90952254)"
"O2002962","02/09/2025 07:53:00 PM","12033 S HALSTED ST","DRIVER","CIRCUMSTANCES STILL UNDER INVESTIGATION.","-87.64166983","41.67505911","POINT (-87.64166983 41.67505911)"
"P442638","02/08/2025 02:16:00 AM","4200 N OAK PARK AVE","PASSENGER","UNIT 1 ATTEMPTED TO PASS ANOTHER VEHICLE AT A HIGH RATE OF SPEED AND STRUCK A POLE. UNIT 1 PASSENGER DIED.","-87.79757095","41.95643987","POINT (-87.79757095 41.95643987)"
